,coverage,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,coverage_by_name/experiments.numeric.fn_counters,config/dropout,config/hidden_size,config/l1_reg,config/l2_reg,config/num_layers,config/opt_batch_per_epoch,config/supervised_batch_size,config/supervised_learning_rate,config/target_rollouts_per_epoch,logdir
26,0.45,1348.0920660495758,False,,,1,b0adc2c3,b67513bb1e354d558911b5518951eb83,2023-07-11_13-39-10,1689082750,1348.0920660495758,62614,1465bae07e22,172.17.0.2,1348.0920660495758,0,1,0.0025944709777832,0.45,0.25,13,0.0,0.00043237757007787977,2,175,107,0.006734163948048004,14,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_b0adc2c3_1_dropout=0.2500,hidden_size=13,l1_reg=0.0000,l2_reg=0.0004,num_layers=2,opt_batch_per_epoch=175,supervised_2023-07-11_13-16-38"
27,0.45,1719.7284700870514,False,,,1,c425ce77,2184f357db5b4645a5d964db830eba8a,2023-07-11_19-54-44,1689105284,1719.7284700870514,62716,1465bae07e22,172.17.0.2,1719.7284700870514,0,1,0.0028772354125976,0.45,0.1,14,0.0,0.0005697384207734645,2,137,113,0.00010853244880047226,8,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_c425ce77_36_dropout=0.1000,hidden_size=14,l1_reg=0.0000,l2_reg=0.0006,num_layers=2,opt_batch_per_epoch=137,supervise_2023-07-11_19-26-04"
28,0.625,1213.6540818214417,False,,,1,c7d772d7,b67513bb1e354d558911b5518951eb83,2023-07-11_21-37-18,1689111438,1213.6540818214417,62614,1465bae07e22,172.17.0.2,1213.6540818214417,0,1,0.0025944709777832,0.625,0.25,14,0.0,0.002236745564324652,2,144,123,0.00020639035833737272,7,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_c7d772d7_46_dropout=0.2500,hidden_size=14,l1_reg=0.0000,l2_reg=0.0022,num_layers=2,opt_batch_per_epoch=144,supervise_2023-07-11_21-17-04"
29,0.625,1307.3279387950895,False,,,1,c903cbbb,b67513bb1e354d558911b5518951eb83,2023-07-11_14-00-57,1689084057,1307.3279387950895,62614,1465bae07e22,172.17.0.2,1307.3279387950895,0,1,0.0025944709777832,0.625,0.25,13,0.0,0.00035499073558613775,2,166,110,0.006156572774086024,9,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_c903cbbb_4_dropout=0.2500,hidden_size=13,l1_reg=0.0000,l2_reg=0.0004,num_layers=2,opt_batch_per_epoch=166,supervised_2023-07-11_13-39-10"
30,0.55,1142.645958185196,False,,,1,cabf4bce,b67513bb1e354d558911b5518951eb83,2023-07-11_15-40-29,1689090029,1142.645958185196,62614,1465bae07e22,172.17.0.2,1142.645958185196,0,1,0.0025944709777832,0.55,0.0,18,0.0,0.0009782922770621707,2,155,101,0.0019290290394708926,12,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_cabf4bce_13_dropout=0,hidden_size=18,l1_reg=0.0000,l2_reg=0.0010,num_layers=2,opt_batch_per_epoch=155,supervised_bat_2023-07-11_15-21-26"
31,0.45,1194.658375263214,False,,,1,cd7a9b08,b67513bb1e354d558911b5518951eb83,2023-07-11_21-17-04,1689110224,1194.658375263214,62614,1465bae07e22,172.17.0.2,1194.658375263214,0,1,0.0025944709777832,0.45,0.0,12,0.0,0.00027390229147998877,2,173,104,0.0070408684423542145,9,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_cd7a9b08_44_dropout=0,hidden_size=12,l1_reg=0.0000,l2_reg=0.0003,num_layers=2,opt_batch_per_epoch=173,supervised_bat_2023-07-11_20-57-09"
32,0.425,1331.034611940384,False,,,1,d59f8512,b67513bb1e354d558911b5518951eb83,2023-07-11_16-47-09,1689094029,1331.034611940384,62614,1465bae07e22,172.17.0.2,1331.034611940384,0,1,0.0025944709777832,0.425,0.0,17,0.0,6.970064859904054e-05,2,191,57,0.0005689908470672508,5,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_d59f8512_19_dropout=0,hidden_size=17,l1_reg=0.0000,l2_reg=0.0001,num_layers=2,opt_batch_per_epoch=191,supervised_bat_2023-07-11_16-24-58"
33,0.575,1094.8404500484469,False,,,1,d60e1118,b67513bb1e354d558911b5518951eb83,2023-07-11_20-40-33,1689108033,1094.8404500484469,62614,1465bae07e22,172.17.0.2,1094.8404500484469,0,1,0.0025944709777832,0.575,0.0,13,0.0,0.0015826293275347345,2,152,99,0.0050282018262979115,7,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_d60e1118_41_dropout=0,hidden_size=13,l1_reg=0.0000,l2_reg=0.0016,num_layers=2,opt_batch_per_epoch=152,supervised_bat_2023-07-11_20-22-18"
34,0.175,1500.0203001499176,False,,,1,d674cfa9,2184f357db5b4645a5d964db830eba8a,2023-07-11_15-01-44,1689087704,1500.0203001499176,62716,1465bae07e22,172.17.0.2,1500.0203001499176,0,1,0.0028772354125976,0.175,0.1,14,0.0,4.111733168479079e-05,2,184,99,0.0053813185705630625,11,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_d674cfa9_9_dropout=0.1000,hidden_size=14,l1_reg=0.0000,l2_reg=0.0000,num_layers=2,opt_batch_per_epoch=184,supervised_2023-07-11_14-36-44"
35,0.35,1219.2710525989532,False,,,1,d700ce42,2184f357db5b4645a5d964db830eba8a,2023-07-11_16-51-45,1689094305,1219.2710525989532,62716,1465bae07e22,172.17.0.2,1219.2710525989532,0,1,0.0028772354125976,0.35,0.0,16,0.0,1.3387394535221214e-05,2,110,96,0.007939803794743298,8,"experiment-results/tune/perform_trial_2023-07-11_13-16-38/perform_trial_d700ce42_20_dropout=0,hidden_size=16,l1_reg=0.0000,l2_reg=0.0000,num_layers=2,opt_batch_per_epoch=110,supervised_bat_2023-07-11_16-31-25"
